ID,metric,condition,Amygdala_L,Amygdala_R,Dorsal_striatum_L,Dorsal_striatum_R,Fusiform_gyrus_L,Fusiform_gyrus_R,Hippocampus_L,Hippocampus_R,Insula_L,Insula_R,Intracalcarine_cortex_L,Intracalcarine_cortex_R,lOFC_L,lOFC_R,mOFC_L,mOFC_R,Oral_somatosensory_cortex_R,Oral_somatosensory_cortex_L,Precuneus_L,Precuneus_R,Ventral_striatum_L,Ventral_striatum_R,vlPFC_L,vlPFC_R,vlThalamus_L,vlThalamus_R,vmPFC_L,vmPFC_R,module0_mean,module1_mean,module2_mean,module3_mean,module4_mean,module5_mean,module6_mean,module7_mean,module8_mean
17,centrality,reward,0.002516753,0.001901628,0.002516753,0.002516753,0.00134849,0.00163693,0.002516753,0.001224688,0.001990897,0.002516753,0.00108949,0.001484157,0.002516753,0.002516753,0.002036758,0.002149836,0.002516753,0.001990897,0.002036758,0.001902097,0.002139045,0.002516753,0.002516753,0.002149836,0.001636461,0.001902097,0.00159623,0.00159623,0.002039955,0.002385289,0.001845028,0.001403526,0.002011552,0.002516753,0.001969428,0.002327899,0.001964762
18,centrality,reward,0.00064187,0.00050674,0.001439855,0.007516597,0.007516597,0.001439855,0.001439855,0.006182112,0.001056985,0.005092152,0.001439855,0.001439855,0.001439855,0.001439855,0.00089524,0.006503315,0.001439855,0.00606019,0.0001295,0.007516597,0.000803615,0.007516597,0.000901407,0.001439855,0.001439855,0.001439855,0.001439855,0.006503315,0.002192644,0.004114124,0.004971717,0.001439855,0.002257212,0.001439855,0.003823048,0.004160106,0.002571108
19,centrality,reward,0.007603992,0.0037531,0.019305491,0.001608526,0.009219588,0.011317181,0.006958249,0.007542839,0.004900391,0.011745878,0.017340109,0.020417137,0.011969881,0.031666155,0.008924595,0.018095217,0.007103862,0.032977498,0.001608526,0.008970134,0.026231795,0.006613233,0.010611157,0.002760819,0.021899253,0.014362737,0.007411836,0.003263155,0.006464545,0.015248844,0.0120798,0.016358142,0.013227065,0.021818018,0.00528933,0.016422514,0.006011742
20,centrality,reward,0.007603655,0.000325866,0.016760413,0.001161391,0.01243663,0.006986647,0.008887505,0.007100281,0.005636455,0.044906713,0.022452861,0.016842833,0.010974377,0.026277099,0.012341169,0.016334561,0.01173517,0.027013234,0.000325866,0.013923744,0.017813035,0.004248017,0.006965494,0.002225038,0.03416995,0.003335854,0.007823239,0.000971251,0.005979327,0.014167552,0.01370412,0.015427447,0.022012243,0.018625738,0.007124805,0.011030526,0.004496256
21,centrality,reward,0.006225969,0.014746235,0.011871744,0.014342679,0.016186584,0.001241557,0.007800226,0.005015459,0.009768475,0.015174235,0.008262841,0.015499587,0.011752755,0.011174506,0.004243289,0.016732099,0.006322908,0.006322908,0.013249245,0.005231601,0.013068265,0.011521662,0.003162764,0.005501004,0.015053048,0.012163385,0.016388867,0.004027384,0.008446972,0.00971506,0.012387324,0.008334661,0.013039786,0.011463631,0.009240423,0.012294964,0.007270005
22,centrality,reward,0,0.002215891,0.016367661,0.011177884,0.012931776,0.005614552,0.023196772,0.013343567,0.010257345,0.010608052,0.001388068,0.005586125,0.006690871,0.000755038,0.008904933,0.002076988,0.009125747,0.003587385,0.004054176,0.004508058,0.004508058,0.008904933,0.007627699,0.006108004,0.011064654,0.014757258,0.007005862,0.007005862,0.009689057,0.010064669,0.007971232,0.004196248,0.011671827,0.003722955,0.004281117,0.006706496,0.006936857
24,centrality,reward,0.002598227,0.003142453,0.008031886,0.008031886,0.005782801,0.002072668,0.004079403,0.002903956,0.003624847,0.008031886,0.007567527,0.006794101,0.001710804,0.003362724,0.002129077,0.006354646,0.008031886,0.007472455,0.00416012,0.005754276,0.004628606,0.00328502,0.00537744,0.001818305,0.008031886,0.00449179,0.004786242,0.002695218,0.00318101,0.007892028,0.004755508,0.005478098,0.006045102,0.002536764,0.004957198,0.003956813,0.003669301
25,centrality,reward,0.00410801,0.003511135,0.00862381,0.00862381,0.002992459,0.003531584,0.00309602,0.000518537,0.00862381,0.001361716,0.006192167,0.005644795,0.00862381,0.001096549,0.000933651,0.003376059,0.00862381,0.00862381,0.003229441,0.00256281,0.00862381,0.003511135,0,0.003393424,0.003765095,0.004934772,0.007975773,0.002103328,0.002808425,0.00862381,0.002434056,0.005122849,0.004671348,0.004860179,0.002896126,0.006067472,0.003368131
26,centrality,reward,0.000875051,0.004617759,0.006250876,0.006493539,0.011664969,0.014267385,0.016860412,0.01089453,0.004892244,0.006250876,0.002700951,0.003149151,0.011696159,0.000945995,0.006250876,0.012589908,0.005116711,0.004325653,0.00735099,0.006493539,0.005869472,0.005781478,0.006602605,0.000976801,0.003766434,0.003766434,0.004206157,0.004830224,0.008311938,0.005546695,0.010168584,0.006705829,0.004668997,0.006321077,0.006922265,0.005825475,0.004153947
27,centrality,reward,0.002749744,0.000777371,0.002977664,0.001724977,0.002977664,0.001986114,0.002977664,0.001547926,0.002977664,0.001724977,0.002977664,0.002135816,0.002749744,0.002977664,0.002749744,0.002135816,0.002263101,0.002135816,0.001421253,0.000883129,0.000346629,0.002977664,0.002977664,0.002977664,0.000777371,0.001470602,0.001724977,0.001724977,0.002013176,0.002275389,0.002621075,0.002366531,0.001737654,0.002863704,0.001152191,0.001662146,0.002351321
